h3_cell,total_crimes_in_cell,violent_crimes_in_cell,cell_violent_rate,neighbour_avg_crimes
8826645745fffff,3,0.0,0.0,8.833333333333334
8826645747fffff,19,5.0,0.2631578947368421,30.5
882664574bfffff,28,6.0,0.21428571428571427,42.166666666666664
8826645751fffff,93,29.0,0.3118279569892473,75.83333333333333
8826645753fffff,123,46.0,0.37398373983739835,112.16666666666667
8826645755fffff,45,10.0,0.2222222222222222,70.16666666666667
8826645757fffff,53,8.0,0.1509433962264151,70.66666666666667
8826645759fffff,72,9.0,0.125,96.33333333333333
882664575bfffff,117,36.0,0.3076923076923077,157.83333333333334
882664575dfffff,45,5.0,0.1111111111111111,69.83333333333333
882664576bfffff,34,6.0,0.17647058823529413,9.5
882664c101fffff,645,92.0,0.14263565891472868,403.6666666666667
882664c103fffff,194,23.0,0.11855670103092783,268.5
882664c105fffff,719,140.0,0.19471488178025034,602.5
882664c107fffff,589,105.0,0.17826825127334464,433.3333333333333
882664c109fffff,38,8.0,0.21052631578947367,264.8333333333333
882664c10bfffff,2,0.0,0.0,146.16666666666666
882664c10dfffff,880,116.0,0.1318181818181818,590.3333333333334
882664c115fffff,69,13.0,0.18840579710144928,236.16666666666666
882664c117fffff,157,29.0,0.18471337579617833,415.3333333333333
882664c121fffff,364,84.0,0.23076923076923078,289.5
882664c123fffff,182,33.0,0.1813186813186813,334.3333333333333
882664c125fffff,386,34.0,0.08808290155440414,300.0
882664c127fffff,340,63.0,0.18529411764705883,344.8333333333333
882664c129fffff,280,41.0,0.14642857142857144,493.0
882664c12bfffff,353,77.0,0.21813031161473087,419.5
882664c12dfffff,196,37.0,0.18877551020408162,329.3333333333333
882664c131fffff,753,105.0,0.1394422310756972,456.3333333333333
882664c133fffff,812,261.0,0.32142857142857145,712.5
882664c135fffff,268,33.0,0.12313432835820895,435.0
882664c137fffff,209,43.0,0.20574162679425836,560.6666666666666
882664c139fffff,306,51.0,0.16666666666666666,458.0
882664c13bfffff,760,197.0,0.25921052631578945,572.5
